"filename", "language", "Markdown", "YAML", "Dart", "C++", "JSON", "HTML", "XML", "Log", "comment", "blank", "total"
"/Users/macbook/git/mote/mote_app/lib/models/user/register_info.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/Users/macbook/git/mote/mote_app/lib/models/user/user.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 15, 16, 97
"/Users/macbook/git/mote/mote_app/lib/models/user/user.g.dart", "Dart", 0, 0, 45, 0, 0, 0, 0, 0, 4, 5, 54
"/Users/macbook/git/mote/mote_app/lib/models/user/user_info.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/macbook/git/mote/mote_app/lib/models/user/user_info.g.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 4, 5, 22
"/Users/macbook/git/mote/mote_app/lib/models/user_info.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 2, 5, 21
"/Users/macbook/git/mote/mote_app/lib/models/user_location.dart", "Dart", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"/Users/macbook/git/mote/mote_app/lib/models/user_model.dart", "Dart", 0, 0, 431, 0, 0, 0, 0, 0, 0, 5, 436
"/Users/macbook/git/mote/mote_app/lib/models/users_page_controller.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 8, 46
"/Users/macbook/git/mote/mote_app/lib/router/router.dart", "Dart", 0, 0, 89, 0, 0, 0, 0, 0, 0, 4, 93
"/Users/macbook/git/mote/mote_app/lib/router/router.gr.dart", "Dart", 0, 0, 698, 0, 0, 0, 0, 0, 73, 138, 909
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/login_bloc/login_bloc.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 15, 3, 65
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/login_bloc/login_event.dart", "Dart", 0, 0, 20, 0, 0, 0, 0, 0, 0, 6, 26
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/login_bloc/login_state.dart", "Dart", 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/view/login_screen.dart", "Dart", 0, 0, 103, 0, 0, 0, 0, 0, 0, 10, 113
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/widgets/custom_divider.dart", "Dart", 0, 0, 27, 0, 0, 0, 0, 0, 0, 3, 30
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/widgets/custom_form_field.dart", "Dart", 0, 0, 49, 0, 0, 0, 0, 0, 0, 3, 52
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/widgets/custom_switched_button.dart", "Dart", 0, 0, 79, 0, 0, 0, 0, 0, 0, 5, 84
"/Users/macbook/git/mote/mote_app/lib/screens/Login_screen/widgets/gender_choice_button.dart", "Dart", 0, 0, 91, 0, 0, 0, 0, 0, 0, 6, 97
